2026-08-05 13:36:32 | INFO | ML | === RUN START ===
2026-08-05 13:36:32 | INFO | ML | project=ML
2026-08-05 13:36:32 | INFO | ML | repo_dir=ml-06-serving
2026-08-05 13:36:32 | INFO | ML | python=3.14.3
2026-08-05 13:36:32 | INFO | ML | os=Windows 11
2026-08-05 13:36:32 | INFO | ML | shell=powershell
2026-08-05 13:36:32 | INFO | ML | cwd=.
2026-08-05 13:36:32 | INFO | ML | github_actions=False
2026-08-05 13:36:33 | INFO | M06 | === RUN START ===
2026-08-05 13:36:33 | INFO | M06 | project=M06
2026-08-05 13:36:33 | INFO | M06 | repo_dir=ml-06-serving
2026-08-05 13:36:33 | INFO | M06 | python=3.14.3
2026-08-05 13:36:33 | INFO | M06 | os=Windows 11
2026-08-05 13:36:33 | INFO | M06 | shell=powershell
2026-08-05 13:36:33 | INFO | M06 | cwd=.
2026-08-05 13:36:33 | INFO | M06 | github_actions=False
2026-08-05 13:36:33 | INFO | M06 | Loading dataset: penguins
2026-08-05 13:36:33 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-05 13:36:33 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-05 13:36:33 | INFO | M06 | Loading dataset: penguins
2026-08-05 13:36:33 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-05 13:36:33 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-05 13:36:33 | INFO | M06 | Loading dataset: penguins
2026-08-05 13:36:33 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-05 13:36:33 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-05 13:36:33 | INFO | M06 | Loading dataset: penguins
2026-08-05 13:36:33 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-05 13:36:33 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-05 13:36:34 | INFO | M06 | Train instances: 273
2026-08-05 13:36:34 | INFO | M06 | Test instances:  69
2026-08-05 13:36:34 | INFO | M06 | Loading dataset: penguins
2026-08-05 13:36:34 | INFO | M06 | Loaded: 344 rows, 7 columns
